SampleID,unclassified,Firmicutes,Actinobacteria,Bacteroidetes,Proteobacteria,Fusobacteria,Verrucomicrobia,Other
MB-2860,22.88,4.19,0.5,67.31,2.03,0.03,0.49,2.15
MB-5397,42.71,15.35,1.34,35.5,2.8,0.04,0.08,1.41
MB-9404,38.19,6.73,1.16,39.89,11.91,0.04,0.53,0.78
MB-3546,14.78,5.54,0.57,76.52,1.19,0.01,0.01,0.25
MB-5530,40.39,19.65,2.22,21.77,13.59,0.06,0.02,1.29
MB-9768,38.5,8.82,0.63,47.49,2.87,0.03,0.02,1.06
MB-4205,41.49,10.82,0.66,32.36,13.14,0.05,0.05,0.74
MB-9507,66.15,10.77,1.69,9.15,8.3,0.08,1.01,1.63
MB-1477,23.71,8.36,0.89,21.75,43.72,0.03,0.45,0.55
MB-5498,20.62,6.26,0.19,70.94,0.75,0.02,0.01,0.62
MB-4774,34.16,8.54,0.67,51.75,2.51,0.04,0.01,1.85
MB-2933,40.74,9.26,4.08,2.55,40.35,0.06,0.11,1.6
MB-7124,50,27.66,3.34,14.17,2.85,0.08,0.02,1.03
MB-6449,53.88,22.99,3.65,14.67,2.7,0.06,0.03,1.2
MB-7133,41.33,26.33,11.54,16.64,2.48,0.05,0.06,0.78
MB-2552,72.58,7.44,1.6,3.05,3.22,0.08,0.05,11.06
MB-8609,45.06,14.49,1.59,33.74,3.03,0.06,0.39,0.95
MB-9445,56.36,8.22,1.26,28.95,3.28,0.04,0.04,1.01
MB-5262,35.58,6.76,0.74,53.52,1.97,0.03,0.16,0.63
MB-1589,56.65,11.25,0.84,25.46,2.83,0.1,0.54,1.51
MB-5652,58.1,8.02,1.24,27.9,2.63,0.07,0.02,1.08
MB-3428,39.14,4.81,0.4,50.79,3.56,0.03,0.01,0.63
MB-8546,46.37,17.87,2.68,26.34,3.23,0.06,1.08,1.27
MB-7924,34.35,7.59,0.51,51.92,4.26,0.04,0.02,0.58
MB-9986,55.7,7.09,1.06,30.38,3.58,0.05,0.18,1.22
MB-2694,46.16,12.99,1.68,34.79,2.5,0.05,0.03,1.03
MB-6143,42.93,14.53,0.97,34.93,2.29,0.06,2.52,0.93
MB-4822,52.28,8.47,0.74,32.19,4.49,0.04,0.02,1
MB-7322,43.35,12.76,1.74,34.45,3.31,0.03,2.81,0.74
MB-5955,39.41,5.46,0.66,50.79,1.95,0.03,0.02,1.11
MB-9521,43.33,11.07,0.58,40.18,2.8,0.07,0.17,1.2
MB-2697,49.63,13.04,1.05,30.34,4.01,0.06,0.03,1.03
MB-1530,64.59,10.68,1.52,15.5,3.66,0.1,1.19,1.73
MB-2421,52.03,14.56,0.82,26.15,2.52,0.1,0.97,2.02
MB-7773,43.83,9.11,0.91,41.39,2.22,0.64,0.37,0.86
MB-7631,57.66,9.63,1.09,26.36,2.73,0.09,0.22,1.44
MB-2845,42.81,13.91,1.11,38.4,1.78,0.02,0.21,0.63
MB-5486,56.22,2.81,0.54,35.4,3.49,0.03,0.02,0.83
MB-5241,32.89,12.14,1.04,50.96,1.64,0.03,0.03,0.7
MB-9714,48.59,8.74,1.13,34.98,4.55,0.05,0.02,1.25
MB-2712,48.1,10.18,1.77,35.15,3.23,0.04,0.02,0.82
MB-5841,41.08,10.65,1.73,39.65,3.38,0.06,1.4,0.98
MB-7505,34.15,11.12,0.59,51.31,1.45,0.03,0.02,0.54
MB-6681,21.01,7.69,1.06,68.42,1.04,0.02,0.01,0.33
MB-8359,54.22,8.55,0.77,31.26,3,0.09,0.05,1.31
MB-2126,53.25,12.46,1.02,26.78,4.24,0.08,0.2,1.29
MB-4454,49.71,7.89,0.79,34.32,5.4,0.05,0.03,1.18
MB-5477,41.19,10.88,0.92,42.47,2.52,0.03,0.03,1.27
MB-8978,33.49,3.59,0.29,60.22,1.21,0.03,0.1,0.57
MB-8077,51.33,9.97,0.5,32.91,2.73,0.06,0.11,1.78
MB-4799,30.37,4.96,0.57,61.95,1.25,0.02,0.16,0.42
MB-9568,43.64,7.37,0.96,43.9,2.71,0.03,0.02,0.68
MB-6828,45.45,5.29,0.63,44.61,2.48,0.04,0.07,0.83
MB-8434,66.34,13.27,1.73,9.35,5.45,0.13,0.37,2.23
MB-9008,43.48,13.34,1.08,36.97,2.86,0.06,0.35,0.96
MB-2919,64.13,9.16,1.26,19.71,3.41,0.07,0.05,1.34
MB-8355,46.02,5.01,0.59,44.58,2.52,0.03,0.04,0.67
MB-2168,39.38,11.94,1.24,43.15,2.52,0.04,0.12,0.89
MB-2386,60.28,14.62,1.83,15.6,4.85,0.07,0.3,1.32
MB-7258,39.11,11.65,0.7,44.04,2.96,0.04,0.15,0.65
MB-8898,48.59,13.17,1.08,32.33,2.68,0.07,0.08,1.25
MB-9833,33.31,4.92,0.33,58.29,2.02,0.04,0.01,0.68
MB-2766,38.03,16.21,1.8,35.35,3.25,0.04,3.58,0.83
MB-6938,58.48,17.08,1.84,17.27,3.31,0.05,0.04,1.08
MB-7677,43.29,11.56,1.18,38.64,2.7,0.03,0.65,1.29
MB-8629,65.03,8.52,2.32,15.89,4.72,0.07,0.59,1.64
MB-2501,38.48,5.91,0.61,51.25,1.68,0.05,0.11,1.11
MB-7497,36.18,2.67,0.57,56.81,1.26,0.03,0.43,1.71
MB-6365,44.12,12.34,1.24,36.87,3.06,0.05,0.6,0.93
MB-4427,48.72,20.95,2.12,23.2,2.87,0.05,0.17,1
MB-2369,34.69,6.3,0.75,54.45,1.74,0.03,0.54,0.94
MB-5299,70.19,8.89,1.12,12.19,3.51,0.1,0.98,2.06
MB-4444,55.02,8.73,1.26,25.22,3.29,0.11,3.82,1.63
MB-7799,52.8,14.22,1.66,24.01,3.11,0.11,0.87,2.2
MB-8134,47.47,9.64,1.24,35.69,3.18,0.09,0.03,1.47
MB-4569,55.33,12.33,1.83,24.23,3.56,0.05,0.58,1.1
MB-9888,63.92,9.28,2.09,17.36,4.11,0.06,0.24,1.78
MB-7310,58.96,8.69,1.34,24.34,4.16,0.06,0.06,1.44
MB-8398,45.96,10.28,0.82,39.06,2.23,0.03,0.03,0.75
MB-9864,50.69,17.58,1.48,24.54,2.78,0.04,0.91,1.05
MB-6341,22.41,4.02,0.16,70.64,0.71,0.38,0.86,0.41
MB-4580,42.16,10.58,0.51,42.59,2.13,0.03,0.03,1.31
MB-2142,70.24,9.13,1.5,12.88,3,0.13,0.05,2.15
MB-7565,48.49,5.67,0.49,39.61,3.19,0.11,0.1,1.71
MB-6987,67.6,10.45,1.58,13.21,3.76,0.08,0.05,2.3
MB-5775,38.36,10.2,1.08,45.54,2.68,0.04,0.74,0.66
MB-2596,34.79,4.56,0.66,56.96,1.86,0.02,0.03,0.41
MB-9953,60.06,12.09,1.81,18.2,4.02,0.11,0.65,1.78
MB-8658,58.02,15.52,1.07,14.37,2.79,0.21,0.13,7.02
MB-7225,22.24,1.93,0.15,73.15,1.64,0.02,0.01,0.31
MB-1486,45.28,15.13,1.61,29.14,3.31,0.03,0.67,4.02
MB-1505,44.42,13.03,1.04,37.28,2.64,0.04,0.03,0.78
MB-8183,33.13,4.69,0.72,57.32,3,0.03,0.11,0.54
MB-5883,24.74,5.41,0.48,66.47,1.95,0.02,0.01,0.36
MB-1098,61.15,9.45,0.97,22.57,2.82,0.1,0.16,1.9
MB-9403,45.33,12.42,0.52,37.68,2.44,0.07,0.03,0.88
MB-2211,42.89,4.41,0.49,48.91,2.11,0.02,0.02,0.72
MB-6671,60.98,12.48,2.45,17.02,4.39,0.06,0.21,1.27
MB-6868,49.85,12.04,0.81,32.22,2.44,0.09,0.47,1.28
MB-8396,33.53,9.6,0.68,48.81,1.54,0.05,4.61,0.64
MB-3073,56.54,7.19,1.97,28.35,3.49,0.05,0.04,1.57
MB-2966,42.59,15.18,1.53,32.77,2.6,0.05,0.12,4.19
MB-5143,54.09,10.73,1.32,27.57,2.7,0.1,0.96,1.66
MB-3109,48.94,8.37,0.68,35.35,4.71,0.07,0.07,1.07
MB-7031,55.29,18.39,0.81,20.29,3.36,0.05,0.23,0.9
MB-7558,46.4,11.72,1.1,37.13,1.99,0.04,0.03,0.83
MB-6338,28.19,7.7,0.92,60.39,1.45,0.02,0.01,0.66
MB-9155,45.39,4.27,0.42,46.31,2.32,0.03,0.02,0.79
MB-4261,35.13,7.21,0.77,54.48,1.36,0.02,0.02,0.66
MB-7907,35.65,9.99,0.45,50.25,2.27,0.04,0.05,0.71
MB-5723,53.4,8.8,1.8,29.72,3.98,0.04,0.17,1.07
MB-2553,48.64,15.21,1.16,29.24,3.8,0.07,0.02,1
MB-6356,35.52,5.14,0.67,51.36,2.32,0.04,0.33,4
MB-8934,36.32,6.84,0.87,52.03,2.55,0.04,0.02,0.69
MB-9669,45.66,18.38,1.08,30.11,2.55,0.07,0.03,1.18
MB-7022,63.36,12.24,2.6,13.59,4.11,0.06,0.99,1.91
MB-2994,54.62,8.67,0.86,30.5,2.88,0.09,0.03,1.79
MB-7364,49.87,16.96,1.56,25.51,3.96,0.15,0.06,0.98
MB-8906,15.21,1.45,0.24,76.48,2.78,0.01,0.03,3.52
MB-5070,55.65,12.37,2.68,23.26,3.45,0.07,0.09,1.36
MB-9204,23.85,19.93,1.46,52.28,1.46,0.03,0.06,0.49
MB-6021,51.5,9.27,1.49,32.02,2.76,0.05,0.89,1.18
MB-7403,28.82,10.38,1.2,56.34,1.95,0.04,0.08,0.74
MB-7303,60.23,13.9,2.79,15.79,4.56,0.05,0.06,1.36
MB-1073,28.98,9.5,0.74,57.27,1.78,0.02,0.07,1.11
MB-2770,29.11,6.37,0.39,54.85,7.24,0.05,0.03,1.24
MB-9157,47.86,15.74,5.19,24.25,4.64,0.02,0.12,0.85
MB-1300,40.28,18.04,1.38,34.41,2.82,0.05,0.27,1.98
MB-7430,52.26,22.76,5.87,13.94,2.93,0.05,0.04,1.17
MB-4304,35.47,8.31,1.26,48.64,2.75,0.05,1.99,0.77
MB-1086,43.37,9.4,0.99,40.23,3.77,0.05,0.49,0.86
MB-2021,47.41,8.27,0.94,37.36,3.75,0.06,0.09,1.21
MB-6194,20.08,3.79,0.27,72.93,1.8,0.01,0.01,0.58
MB-4084,56.87,12.72,1.18,23.61,2.68,0.08,0.46,1.5
MB-9244,36.07,10.65,0.7,48.06,3.1,0.04,0.02,0.59
MB-8279,17.66,8.01,0.44,72.29,0.93,0.02,0.06,0.31
MB-7442,59.78,16.62,1.37,14.68,3.2,0.13,1.05,2.03
MB-8019,68.18,6.94,1.27,11.34,8.12,0.12,0.07,2.86
MB-1146,32.77,22.64,1.55,39.06,2.39,0.02,0.06,0.66
MB-2428,68.43,7.87,1.8,10.76,3.68,0.05,0.08,6.19
MB-1137,31.05,8.31,0.38,53.38,5.7,0.03,0.02,0.6
MB-9250,21.12,8.45,0.34,62.94,6.07,0.03,0.01,0.7
MB-3908,67.15,11.73,1.31,11.79,4.49,0.12,0.58,1.95
MB-2826,56.84,17.08,1.47,18.98,2.78,0.09,0.14,1.71
MB-6409,61.93,7.64,0.99,22.85,3.15,0.11,0.49,1.95
MB-6025,43.04,17.71,2.65,32.2,2.64,0.04,0.1,0.87
MB-5139,41.36,10.78,1.24,42.44,2.7,0.04,0.04,0.88
MB-1248,45.74,10.4,1.68,36.39,4.41,0.04,0.02,0.68
MB-3181,62.62,14.34,0.99,16.37,3.28,0.08,0.03,1.4
MB-8956,55.21,8.7,1.17,19.94,9.63,0.04,3.29,1.12
MB-5689,37.52,9.64,0.92,46.94,2.38,0.04,1.41,0.67
MB-7455,43.45,15.41,1.8,31.96,5.11,0.03,0.03,1.41
MB-2893,34.6,10.95,0.77,49.21,3.18,0.03,0.01,0.62
MB-5562,50.97,9.14,0.81,34.42,2.6,0.07,0.11,1.17
MB-4678,52.32,11.09,1.45,28.65,3.4,0.03,1.17,0.94
MB-7963,29.27,6.31,0.32,61.43,0.96,0.02,0.01,1.02
MB-5029,29.26,6.39,0.46,60.75,1.47,0.03,0.18,0.57
MB-7390,52.06,14.14,1.48,25.3,3.5,0.1,0.89,1.5
MB-1599,44.9,10.72,0.8,39.06,2.43,0.07,0.04,1.03
MB-8390,14.81,8.41,0.29,73.43,2.54,0.01,0.02,0.31
MB-3303,54.43,10.8,0.78,28.89,2.86,0.06,0.33,1.11
MB-9929,55.31,10.15,1.25,27.74,3.32,0.06,0.03,1.41
MB-2963,27.31,10.88,1.24,55.87,1.62,0.03,0.18,2.08
MB-6544,42.06,10.19,0.67,42.62,2.97,0.04,0.04,0.8
MB-4073,37.2,8.62,0.91,48.13,3.76,0.04,0.02,0.64
MB-2333,49.7,13.46,1.1,29.78,3.65,0.04,0.25,1.23
MB-2167,59.96,9.76,0.75,21.44,5.57,0.09,0.03,1.59
MB-7917,43.82,10.19,0.94,38.69,3.94,0.05,0.16,1.55
MB-8037,39.56,7.72,1.06,47.31,2.49,0.05,0.12,1.06
MB-4408,49.97,10.91,0.84,34.03,2.5,0.04,0.03,0.8
MB-3320,36.21,8.66,0.65,47.54,2.47,0.04,1.78,2.1
MB-8171,56.5,8.49,1.34,28.27,2.92,0.06,0.3,1.3
MB-5822,39.48,8.24,0.84,47,2.27,0.04,0.01,1.36
MB-3005,46.5,10.73,0.89,38.03,2.03,0.07,0.07,1.06
MB-7068,54.76,14.36,1,22.93,3.26,0.13,0.59,2.1
MB-5402,39.02,8.1,0.67,46.78,2.8,0.03,1.17,0.61
MB-1855,74,8.64,1.49,8.98,3.49,0.12,0.21,2
MB-6956,45.26,4.96,0.7,45.58,1.97,0.04,0.03,0.79
MB-5771,42.7,15.01,1.05,36.86,2.35,0.06,0.39,0.89
MB-5482,44.23,15.99,1.96,32.53,3.27,0.03,0.12,0.95
MB-8991,44.85,10.61,0.86,39.15,2.97,0.04,0.03,0.85
MB-7380,65.15,9.82,1.76,14.83,3.77,0.09,0.52,3.1
MB-4130,49.19,8.26,1.1,35.55,4.05,0.04,0.1,0.95
MB-8612,37.96,7.66,0.51,50.37,1.98,0.05,0.06,0.81
MB-4393,57.44,12.09,1.12,24.36,2.35,0.1,0.13,1.48
MB-9696,55.04,11.02,2.14,23.96,4.39,0.05,1.06,1.35
MB-8895,48.18,8.52,2.09,34.72,4.69,0.04,0.03,1
MB-9121,61.82,14.41,1.87,15.42,3.37,0.13,0.18,1.74
MB-4960,49.74,7.44,0.46,37.11,3.53,0.05,0.03,1.15
MB-7067,40.7,6.74,1.67,44.85,2.18,0.06,2.17,0.89
MB-1545,54.86,10.86,1.84,26.14,3.74,0.04,0.17,1.42
MB-4114,36.8,6.17,0.41,53.39,1.58,0.04,0.03,0.7
MB-6243,52.62,12.65,1.49,25.96,3.15,0.12,1.1,1.98
MB-1845,69.83,8.68,1.1,12.48,3.82,0.14,0.1,2.69
MB-3454,41.1,9.12,0.96,43.04,3.21,0.04,0.23,1.71
MB-5981,60.75,11.62,1.18,20.61,3.5,0.08,0.04,1.39
MB-8360,61.15,14.8,2.1,10.33,8.36,0.09,0.22,1.81
MB-1100,55.35,18.11,2.9,14.68,3.66,0.07,0.92,3.21
